date,Ramp/site,Catch area,# Interviews (Boat or Shore),Anglers,Chinook (per angler),Chinook,Coho,Chum,Pink,Sockeye,Lingcod,Halibut
"Sep 20, 2020",Olson's West Docks (*1159)*,"Area 5, Sekiu and Pillar Point",14,40,0,0,40,0,0,0,0,0
"Sep 19, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",37,107,0,0,141,0,0,0,0,2
"Sep 19, 2020",Van Riper's North*,"Area 5, Sekiu and Pillar Point",15,41,0,0,49,0,0,0,0,0
"Sep 19, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",14,41,0,0,38,0,0,0,0,0
"Sep 18, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",54,131,0,0,144,0,0,0,0,0
"Sep 18, 2020",Van Riper's North*,"Area 5, Sekiu and Pillar Point",23,68,0,0,37,0,0,0,0,0
"Sep 18, 2020",Van Riper's South*,"Area 5, Sekiu and Pillar Point",21,51,0,0,57,0,0,0,0,0
"Sep 17, 2020","Ediz Hook, Port Angeles Public Ramp","Area 5, Sekiu and Pillar Point",1,3,0,0,0,0,0,0,0,1
"Sep 17, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",32,81,0,0,88,0,0,0,0,0
"Sep 17, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",23,55,0,0,67,0,0,0,0,0
"Sep 15, 2020",Olson's East Docks (*1159)*,"Area 5, Sekiu and Pillar Point",56,139,0.01,1,175,0,0,0,0,0
"Sep 15, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",36,85,0.02,2,94,0,0,0,0,0
"Sep 13, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",1,3,0,0,3,0,0,0,0,0
"Sep 11, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",43,119,0,0,77,0,0,0,0,0
"Sep 11, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",25,70,0,0,65,0,0,0,0,1
"Sep 10, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",18,39,0,0,52,0,0,0,0,0
"Sep 10, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",14,35,0,0,35,0,0,0,2,3
"Sep 10, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",34,71,0,0,102,0,0,0,0,0
"Sep 9, 2020",Olson's East Docks (*1159)*,"Area 5, Sekiu and Pillar Point",27,69,0,0,47,0,0,0,0,0
"Sep 9, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",35,67,0,0,49,0,0,0,0,0
"Sep 5, 2020",Van Riper's North*,"Area 5, Sekiu and Pillar Point",57,147,0,0,167,0,0,0,1,0
"Sep 5, 2020",Van Riper's South*,"Area 5, Sekiu and Pillar Point",46,119,0,0,133,0,0,0,3,0
"Sep 3, 2020",Olson's East Docks (*1159)*,"Area 5, Sekiu and Pillar Point",45,97,0,0,93,0,0,0,0,1
"Sep 3, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",31,68,0,0,49,0,0,0,0,6
"Sep 3, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",18,42,0,0,30,0,0,0,0,0
"Sep 2, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",18,41,0.02,1,33,0,0,0,0,0
"Aug 30, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",40,105,0.01,1,89,0,0,0,0,0
"Aug 30, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",20,48,0,0,52,0,0,0,0,0
"Aug 30, 2020",Van Riper's South*,"Area 5, Sekiu and Pillar Point",48,116,0,0,132,0,0,0,0,0
"Aug 29, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",39,96,0,0,64,0,0,0,0,0
"Aug 29, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",31,87,0,0,99,0,0,0,1,0
"Aug 28, 2020",Olson's West Docks (*1159)*,"Area 5, Sekiu and Pillar Point",6,14,0,0,13,0,0,0,0,0
"Aug 28, 2020",Olsons South Dock,"Area 5, Sekiu and Pillar Point",14,34,0,0,29,0,0,0,0,0
"Aug 28, 2020",Van Riper's South*,"Area 5, Sekiu and Pillar Point",32,81,0,0,78,0,0,0,0,0
"Aug 27, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",27,72,0,0,37,0,0,0,0,0
"Aug 27, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",17,40,0,0,18,0,0,0,0,0
"Aug 26, 2020",Olson's East Docks (*1159)*,"Area 5, Sekiu and Pillar Point",47,112,0.03,3,53,0,0,0,0,0
"Aug 26, 2020",Van Riper's North*,"Area 5, Sekiu and Pillar Point",16,30,0,0,19,0,0,0,0,0
"Aug 22, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",63,156,0.01,2,121,0,0,0,0,6
"Aug 22, 2020",Olsons South Dock,"Area 5, Sekiu and Pillar Point",25,65,0,0,89,0,0,0,0,0
"Aug 22, 2020",Van Riper's South*,"Area 5, Sekiu and Pillar Point",19,58,0,0,50,0,0,0,0,1
"Aug 21, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",37,94,0,0,101,0,0,0,0,2
"Aug 21, 2020",Olson's West Docks (*1159)*,"Area 5, Sekiu and Pillar Point",9,18,0,0,10,0,0,0,0,5
"Aug 20, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",4,10,0,0,4,0,0,0,0,2
"Aug 20, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",12,33,0.06,2,20,0,0,0,0,2
"Aug 20, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",14,28,0,0,12,0,0,0,0,3
"Aug 18, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",19,36,0,0,16,0,0,0,3,0
"Aug 18, 2020",Van Riper's North*,"Area 5, Sekiu and Pillar Point",9,14,0,0,7,0,0,0,0,0
"Aug 16, 2020",Olson's East Docks (*1159)*,"Area 5, Sekiu and Pillar Point",2,4,0,0,5,0,0,0,0,0
"Aug 16, 2020",Olson's West Docks (*1159)*,"Area 5, Sekiu and Pillar Point",5,12,0,0,12,0,0,0,0,0
"Aug 16, 2020",Van Riper's North*,"Area 5, Sekiu and Pillar Point",13,30,0,0,35,0,0,0,0,0
"Aug 15, 2020",Cornet Bay Public Ramp,"Area 5, Sekiu and Pillar Point",1,3,0,0,3,0,0,0,0,0
"Aug 15, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",2,4,0,0,0,0,0,0,0,0
"Aug 15, 2020",Olson's West Docks (*1159)*,"Area 5, Sekiu and Pillar Point",2,5,0,0,0,0,0,0,0,4
"Aug 15, 2020",Van Riper's South*,"Area 5, Sekiu and Pillar Point",24,63,0,0,34,0,0,0,0,2
"Aug 13, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",15,36,0,0,10,0,0,0,0,0
"Aug 13, 2020",Van Riper's South*,"Area 5, Sekiu and Pillar Point",30,66,0.03,2,21,0,0,0,0,8
"Aug 12, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",23,53,0.04,2,16,0,0,0,0,0
"Aug 12, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",19,45,0,0,23,0,0,0,0,0
"Aug 9, 2020",Olson's West Docks (*1159)*,"Area 5, Sekiu and Pillar Point",8,16,0.06,1,11,0,0,0,0,0
"Aug 9, 2020",Van Riper's North*,"Area 5, Sekiu and Pillar Point",12,31,0,0,14,0,0,0,0,0
"Aug 8, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",13,28,0,0,2,0,0,0,1,3
"Aug 8, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",21,52,0,0,5,0,0,0,0,11
"Aug 7, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",24,51,0.02,1,10,0,0,0,0,6
"Aug 7, 2020",Van Riper's North*,"Area 5, Sekiu and Pillar Point",4,7,0,0,0,0,0,0,0,0
"Aug 6, 2020",Curleys Resort,"Area 5, Sekiu and Pillar Point",1,2,0,0,0,0,0,0,0,0
"Aug 6, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",8,24,0,0,0,0,0,0,0,2
"Aug 6, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",9,18,0,0,0,0,0,0,0,1
"Aug 6, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",14,33,0,0,1,0,0,0,0,1
"Aug 5, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",14,29,0,0,8,0,0,0,0,0
"Aug 5, 2020",Van Riper's South*,"Area 5, Sekiu and Pillar Point",26,60,0.02,1,17,0,0,0,0,0
"Aug 1, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",14,34,0,0,7,0,0,0,0,0
"Aug 1, 2020",Van Riper's North*,"Area 5, Sekiu and Pillar Point",11,28,0,0,4,0,0,0,0,0
"Jul 31, 2020",Van Riper's North*,"Area 5, Sekiu and Pillar Point",2,8,0,0,10,0,0,0,0,0
"Jul 31, 2020",Van Riper's South*,"Area 5, Sekiu and Pillar Point",7,23,0,0,2,0,0,0,0,0
"Jul 30, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",36,74,0.11,8,6,0,0,0,0,0
"Jul 30, 2020",Van Riper's North*,"Area 5, Sekiu and Pillar Point",9,18,0.22,4,0,0,0,0,0,0
"Jul 26, 2020",Olson's East Docks (*1159)*,"Area 5, Sekiu and Pillar Point",47,101,0.2,20,10,0,0,0,3,0
"Jul 26, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",44,101,0.13,13,5,0,0,0,0,0
"Jul 25, 2020",Olson's East Docks (*1159)*,"Area 5, Sekiu and Pillar Point",37,79,0.3,24,4,0,0,0,0,0
"Jul 25, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",41,98,0.1,10,4,0,0,0,0,0
"Jul 21, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",11,20,0.2,4,3,0,0,0,0,0
"Jul 21, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",3,7,0.14,1,0,0,0,0,0,0
"Jul 20, 2020",Olson's East Docks (*1159)*,"Area 5, Sekiu and Pillar Point",46,104,0.15,16,7,0,0,0,2,0
"Jul 20, 2020",Van Riper's South*,"Area 5, Sekiu and Pillar Point",39,85,0.07,6,3,0,0,0,2,0
"Jul 19, 2020",Olson's West Docks (*1159)*,"Area 5, Sekiu and Pillar Point",8,19,0.05,1,3,0,0,0,0,0
"Jul 19, 2020",Van Riper's South*,"Area 5, Sekiu and Pillar Point",45,109,0.06,6,8,0,0,0,0,0
"Jul 18, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",73,174,0.11,19,5,0,0,0,4,0
"Jul 18, 2020",Olsons South Dock,"Area 5, Sekiu and Pillar Point",27,82,0.04,3,0,0,0,0,0,0
"Jul 18, 2020",Van Riper's South*,"Area 5, Sekiu and Pillar Point",48,137,0.05,7,4,0,0,0,0,0
"Jul 14, 2020",Olson's East Docks (*1159)*,"Area 5, Sekiu and Pillar Point",28,63,0.13,8,4,0,0,0,0,0
"Jul 14, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",40,87,0.14,12,7,0,0,0,0,0
"Jul 13, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",25,56,0.32,18,1,0,0,0,1,0
"Jul 13, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",7,16,0,0,3,0,0,0,0,0
"Jul 12, 2020",Olson's East Docks (*1159)*,"Area 5, Sekiu and Pillar Point",37,104,0.2,21,16,0,0,0,0,0
"Jul 12, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",30,88,0.34,30,12,0,1,0,0,0
"Jul 12, 2020",Olson's West Docks (*1159)*,"Area 5, Sekiu and Pillar Point",31,72,0.01,1,0,0,0,0,0,0
"Jul 11, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",93,246,0.22,53,82,0,0,0,0,0
"Jul 11, 2020",Van Riper's North*,"Area 5, Sekiu and Pillar Point",15,34,0.09,3,19,0,0,0,0,0
"Jul 9, 2020",Olson's East Docks (*1159)*,"Area 5, Sekiu and Pillar Point",41,90,0.34,31,11,0,0,0,0,0
"Jul 9, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",70,176,0.23,40,16,0,0,0,0,0
"Jul 8, 2020",Port Angeles West Ramp,"Area 5, Sekiu and Pillar Point",1,2,0,0,1,0,0,0,0,0
"Jul 8, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",24,54,0.33,18,9,0,0,0,0,0
"Jul 5, 2020",Bellingham Ramp (Glenn St.) Squalicum Harbor,"Area 5, Sekiu and Pillar Point",1,2,0,0,0,0,0,0,0,0
"Jul 5, 2020",Olson's East Docks (*1159)*,"Area 5, Sekiu and Pillar Point",52,127,0.5,63,18,0,0,0,0,0
"Jul 5, 2020",Van Riper's South*,"Area 5, Sekiu and Pillar Point",50,114,0.51,58,12,0,0,0,0,0
"Jul 3, 2020",Olson's East Docks (*1159)*,"Area 5, Sekiu and Pillar Point",57,137,0.52,71,14,0,0,0,2,0
"Jul 3, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",79,195,0.67,131,32,0,0,0,4,0
"Jul 3, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",24,53,0.06,3,0,0,0,0,0,0
"Jul 2, 2020",Curleys Resort,"Area 5, Sekiu and Pillar Point",11,24,0.58,14,2,0,0,0,0,0
"Jul 2, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",16,47,0.94,44,1,0,0,0,0,0
"Jul 1, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",51,115,0.7,80,23,0,0,0,0,0
"Jul 1, 2020",Olson's West Docks (*1159)*,"Area 5, Sekiu and Pillar Point",7,16,0.75,12,6,0,0,0,0,0
"Jun 27, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",20,50,0,0,0,0,0,0,0,18
"Jun 27, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",14,37,0,0,0,0,0,0,0,8
"Jun 25, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",18,45,0,0,0,0,0,0,4,9
"Jun 25, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",7,19,0,0,0,0,0,0,0,5
"Jun 23, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",20,42,0,0,0,0,0,0,1,9
"Jun 23, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",10,22,0,0,0,0,0,0,0,6
"Jun 21, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",15,30,0,0,0,0,0,0,5,3
"Jun 21, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",8,21,0,0,0,0,0,0,0,5
"Jun 19, 2020","Ediz Hook, Port Angeles Public Ramp","Area 5, Sekiu and Pillar Point",1,1,0,0,0,0,0,0,0,0
"Jun 19, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",27,59,0,0,0,0,0,0,1,10
"Jun 19, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",11,22,0,0,0,0,0,0,0,6
"Jun 17, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",24,52,0,0,0,0,0,0,0,9
"Jun 17, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",12,22,0,0,0,0,0,0,0,6
"Jun 15, 2020","Ediz Hook, Port Angeles Public Ramp","Area 5, Sekiu and Pillar Point",1,3,0,0,0,0,0,0,0,3
"Jun 15, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",26,69,0,0,0,0,0,0,0,27
"Jun 15, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",12,22,0,0,0,0,0,0,1,12
"Jun 13, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",37,92,0,0,0,0,0,0,8,29
"Jun 13, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",14,35,0,0,0,0,0,0,0,17
"Jun 11, 2020","Ediz Hook, Port Angeles Public Ramp","Area 5, Sekiu and Pillar Point",1,2,0,0,0,0,0,0,0,1
"Jun 11, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",41,96,0,0,0,0,0,0,8,15
"Jun 11, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",16,27,0,0,0,0,0,0,0,10
"Jun 9, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",22,61,0,0,0,0,0,0,0,3
"Jun 9, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",8,12,0,0,0,0,0,0,2,0
"Jun 7, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",33,94,0,0,0,0,0,0,3,6
"Jun 7, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",11,24,0,0,0,0,0,0,0,5
"Jun 6, 2020",Cornet Bay Public Ramp,"Area 5, Sekiu and Pillar Point",1,2,0,0,0,0,0,0,0,0
"Jun 6, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",11,31,0,0,0,0,0,0,6,0
"Jun 5, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",33,89,0,0,0,0,0,0,4,14
"Jun 5, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",13,31,0,0,0,0,0,0,0,2
"Jun 4, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",12,28,0,0,0,0,0,0,4,0
"Jun 3, 2020",Curleys Resort,"Area 5, Sekiu and Pillar Point",2,3,0,0,0,0,0,0,0,0
"Jun 3, 2020","Ediz Hook, Port Angeles Public Ramp","Area 5, Sekiu and Pillar Point",1,3,0,0,0,0,0,0,0,2
"Jun 3, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",19,42,0,0,0,0,0,0,2,7
"Jun 3, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",5,10,0,0,0,0,0,0,0,2
"Jun 2, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",6,14,0,0,0,0,0,0,2,0
"Jun 2, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",4,6,0,0,0,0,0,0,0,0
"Jun 1, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",30,73,0,0,0,0,0,0,2,21
"Jun 1, 2020",Port Angeles West Ramp,"Area 5, Sekiu and Pillar Point",1,1,0,0,0,0,0,0,0,1
"Jun 1, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",9,19,0,0,0,0,0,0,0,6
"May 31, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",17,48,0,0,0,0,0,0,4,0
"May 31, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",4,10,0,0,0,0,0,0,0,0
"May 30, 2020",Curleys Resort,"Area 5, Sekiu and Pillar Point",1,2,0,0,0,0,0,0,0,0
"May 30, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",39,113,0,0,0,0,0,0,1,25
"May 30, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",13,40,0,0,0,0,0,0,0,6
"May 28, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",29,71,0,0,0,0,0,0,2,6
"May 28, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",13,35,0,0,0,0,0,0,0,5
"May 26, 2020",Curleys Resort,"Area 5, Sekiu and Pillar Point",1,2,0,0,0,0,0,0,0,0
"May 26, 2020","Ediz Hook, Port Angeles Public Ramp","Area 5, Sekiu and Pillar Point",1,1,0,0,0,0,0,0,0,0
"May 26, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",26,55,0,0,0,0,0,0,1,4
"May 26, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",3,7,0,0,0,0,0,0,0,1
"May 24, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",48,129,0,0,0,0,0,0,11,4
"May 24, 2020",Port Angeles West Ramp,"Area 5, Sekiu and Pillar Point",1,4,0,0,0,0,0,0,0,0
"May 24, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",17,46,0,0,0,0,0,0,3,2
"May 23, 2020",Curleys Resort,"Area 5, Sekiu and Pillar Point",10,24,0,0,0,0,0,0,4,0
"May 23, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",68,183,0,0,0,0,0,0,22,0
"May 23, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",10,30,0,0,0,0,0,0,2,0
"May 22, 2020",Curleys Resort,"Area 5, Sekiu and Pillar Point",2,7,0,0,0,0,0,0,1,0
"May 22, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",43,116,0,0,0,0,0,0,2,6
"May 22, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",11,35,0,0,0,0,0,0,0,0
"May 21, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",14,33,0,0,0,0,0,0,4,0
"May 21, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",17,41,0,0,0,0,0,0,3,0
"May 20, 2020",Curleys Resort,"Area 5, Sekiu and Pillar Point",1,2,0,0,0,0,0,0,0,0
"May 20, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",30,64,0,0,0,0,0,0,4,3
"May 20, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",7,17,0,0,0,0,0,0,3,0
"May 17, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",1,1,0,0,0,0,0,0,0,0
"May 16, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",36,99,0,0,0,0,0,0,14,0
"May 15, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",17,38,0,0,0,0,0,0,6,0
"May 15, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",1,2,0,0,0,0,0,0,1,0
"May 14, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",24,45,0,0,0,0,0,0,4,0
"May 13, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",6,9,0,0,0,0,0,0,4,0
"May 9, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",18,41,0,0,0,0,0,0,8,0
"May 9, 2020",Olson's West Docks (*1159)*,"Area 5, Sekiu and Pillar Point",10,22,0,0,0,0,0,0,1,0
"May 9, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",1,2,0,0,0,0,0,0,0,0
"May 8, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",8,20,0,0,0,0,0,0,3,0
"May 8, 2020",Van Riper's North*,"Area 5, Sekiu and Pillar Point",2,7,0,0,0,0,0,0,3,0
"May 6, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",6,13,0,0,0,0,0,0,3,0
"May 5, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",10,17,0,0,0,0,0,0,3,0
"Mar 22, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",7,12,0.08,1,0,0,0,0,0,0
"Mar 22, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",1,4,0,0,0,0,0,0,0,0
"Mar 21, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",4,10,0.1,1,0,0,0,0,0,0
"Mar 20, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",8,18,0.11,2,0,0,0,0,0,0
"Mar 19, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",2,3,0,0,0,0,0,0,0,0
"Mar 18, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",2,2,0,0,0,0,0,0,0,0
"Mar 13, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",1,3,0,0,0,0,0,0,0,0
"Mar 12, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",2,4,0.75,3,0,0,0,0,0,0
"Mar 8, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",3,5,0.4,2,0,0,0,0,0,0
"Mar 7, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",2,5,0.6,3,0,0,0,0,0,0
"Mar 6, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",4,10,0.2,2,0,0,0,0,0,0
"Mar 5, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",2,4,0,0,0,0,0,0,0,0
"Mar 4, 2020",Olson's Resort,"Area 5, Sekiu and Pillar Point",1,1,0,0,0,0,0,0,0,0
"Mar 1, 2020",Olson's Ramp & Docks (*1159)*,"Area 5, Sekiu and Pillar Point",8,15,0,0,0,0,0,0,0,0
"Feb 29, 2020",Van Ripers Resort,"Area 5, Sekiu and Pillar Point",1,0,0,0,0,0,0,0,0,0
